2021-02-14T18:11:00.149Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1
2021-02-14T18:11:00.149Z | Common Extension Root    | TRACE | Trying to initialize the workspace folder JWTAuth for Connect
2021-02-14T18:11:00.149Z | Common Extension Root    | TRACE | Connect initialization started on JWTAuth
2021-02-14T18:11:00.149Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-14T18:11:00.150Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-14T18:11:00.162Z | Common Extension Root    | TRACE | Event: connect-initialization-success <json>{"workspacesCommonId":"a5c858ef-94a0-1133-4fcf-2ab9b934a64c"}</json>
2021-02-14T18:11:00.285Z | Common Extension Root    | TRACE | Successfully determined the CLI binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/dsc
2021-02-14T18:11:00.513Z | Common Extension Root    | TRACE | Successfully determined the kubectl binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/kubectl/linux/kubectl
2021-02-14T18:11:19.988Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-14T18:11:19.988Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-14T18:11:19.989Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
2021-02-14T18:11:19.994Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
2021-02-14T18:11:26.704Z | Common Extension Root    | ERROR | Error: kubectl-client-command-error <json>{"args":"config view --minify -o json"}</json> <stack>Error: error: current-context must exist in order to minify\n\n	at ChildProcess.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140460)\n	at ChildProcess.emit (events.js:315:20)\n	at ChildProcess.EventEmitter.emit (domain.js:483:12)\n	at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)</stack>
