2021-02-10T22:19:29.336Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1
2021-02-10T22:19:29.337Z | Common Extension Root    | TRACE | Trying to initialize the workspace folder StableCoin for Connect
2021-02-10T22:19:29.337Z | Common Extension Root    | TRACE | Connect initialization started on StableCoin
2021-02-10T22:19:29.337Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-10T22:19:29.339Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-10T22:19:29.363Z | Common Extension Root    | TRACE | Event: connect-initialization-success <json>{"workspacesCommonId":"5443dc94-d47a-f250-bdc2-8c857cc03487"}</json>
2021-02-10T22:19:29.411Z | Common Extension Root    | TRACE | Successfully determined the CLI binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/dsc
2021-02-10T22:19:29.451Z | Common Extension Root    | TRACE | Successfully determined the kubectl binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/kubectl/linux/kubectl
2021-02-10T22:19:32.350Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-10T22:19:32.350Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-10T22:19:32.351Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
2021-02-10T22:19:32.354Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
2021-02-10T22:19:32.475Z | Common Extension Root    | ERROR | Error: kubectl-client-command-error <json>{"args":"config view --minify -o json"}</json> <stack>Error: error: current-context must exist in order to minify\n\n	at ChildProcess.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140460)\n	at ChildProcess.emit (events.js:315:20)\n	at ChildProcess.EventEmitter.emit (domain.js:483:12)\n	at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)</stack>
2021-02-10T22:19:32.477Z | Common Extension Root    | ERROR | Error: kubectl-client-current-context-retrieval-error <stack>Error: No kubeconfig file found at path /home/abinesh/.kube/config\n	at t.KubectlClient.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:141523)\n	at Generator.throw (<anonymous>)\n	at s (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140674)\n	at processTicksAndRejections (internal/process/task_queues.js:97:5)</stack>
2021-02-10T22:19:32.477Z | Common Extension Root    | WARNG | Encountered error running kubectl: Failed to get the current context from the kubeconfig: No kubeconfig file found at path /home/abinesh/.kube/config
2021-02-10T22:19:35.258Z | Common Extension Root    | TRACE | Event: cli-client-clean-local-connect-success
2021-02-10T22:19:35.258Z | Common Extension Root    | TRACE | Event: binaries-utility-cleanup-before-download-success
2021-02-10T22:19:36.418Z | Common Extension Root    | TRACE | Event: cli-versions-client-get-download-info-success <json>{"availableVersion":"1.0.20210126.4","expectedVersion":"1.0.20210126.1"}</json>
2021-02-10T22:19:36.418Z | Common Extension Root    | TRACE | Event: cli-version-client-get-download-info-status <json>{"binariesVersionsDownloadTimeInMilliseconds":1159,"binariesVersionsDownloadSucceeded":true}</json>
2021-02-10T22:19:36.418Z | Common Extension Root    | TRACE | Event: binaries-utility-download-start
2021-02-10T22:20:22.255Z | Common Extension Root    | TRACE | Event: binaries-utility-download-success
2021-02-10T22:20:22.256Z | Common Extension Root    | TRACE | Event: binaries-utility-overall-download-status <json>{"binariesDownloadTimeInMilliseconds":45837,"binariesDownloadSucceeded":true}</json>
2021-02-10T22:20:23.930Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-10T22:20:23.931Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
